"HGNC symbol","Aliases","Common name","Description","Cytogenetic Location","OMIM","Ensembl","UniProt/Swiss-Prot","Entrez Gene","UniGene"
"ABCA1","TGD; ABC1; CERP; ABC-1; HDLDT1","ATP binding cassette subfamily A member 1","The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters.  ABC proteins transport various molecules across extra- and intracellular membranes.  ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White).  This protein is a member of the ABC1 subfamily.  Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes.  With cholesterol as its substrate, this protein functions as a cholesteral efflux pump in the cellular lipid removal pathway.  Mutations in this gene have been associated with Tangier's disease and familial high-density lipoprotein deficiency. [provided by RefSeq, Jul 2008]","9q31.1","600046","ENSG00000165029","ABCA1_HUMAN","19","659274"
"ABCA7","AD9; ABCX; ABCA-SSN","ATP binding cassette subfamily A member 7","The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This full transporter has been detected predominantly in myelo-lymphatic tissues with the highest expression in peripheral leukocytes, thymus, spleen, and bone marrow. The function of this protein is not yet known; however, the expression pattern suggests a role in lipid homeostasis in cells of the immune system. [provided by RefSeq, Jul 2008]","19p13.3","605414","ENSG00000064687","ABCA7_HUMAN","10347","134514"
"ABCC4","MRP4; MOATB; MOAT-B","ATP binding cassette subfamily C member 4","The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This family member plays a role in cellular detoxification as a pump for its substrate, organic anions. It may also function in prostaglandin-mediated cAMP signaling in ciliogenesis. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Sep 2014]","13q32.1","605250","ENSG00000125257","A8K2Q2_HUMAN","10257","508423"
"ABCC8","HI; SUR; HHF1; MRP8; PHHI; SUR1; ABC36; HRINS; TNDM2; SUR1delta2","ATP binding cassette subfamily C member 8","The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This protein functions as a modulator of ATP-sensitive potassium channels and insulin release. Mutations and deficiencies in this protein have been observed in patients with hyperinsulinemic hypoglycemia of infancy, an autosomal recessive disorder of unregulated and high insulin secretion. Mutations have also been associated with non-insulin-dependent diabetes mellitus type II, an autosomal dominant disease of defective insulin secretion. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2013]","11p15.1","600509","ENSG00000006071","ABCC8_HUMAN","6833","54470"
"ACACA","ACC; ACAC; ACC1; ACCA; ACACAD","acetyl-CoA carboxylase alpha","Acetyl-CoA carboxylase (ACC) is a complex multifunctional enzyme system. ACC is a biotin-containing enzyme which catalyzes the carboxylation of acetyl-CoA to malonyl-CoA, the rate-limiting step in fatty acid synthesis. There are two ACC forms, alpha and beta, encoded by two different genes. ACC-alpha is highly enriched in lipogenic tissues. The enzyme is under long term control at the transcriptional and translational levels and under short term regulation by the phosphorylation/dephosphorylation of targeted serine residues and by allosteric transformation by citrate or palmitoyl-CoA. Multiple alternatively spliced transcript variants divergent in the 5' sequence and encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","17q12","200350","ENSG00000278540","A0A024R0Y2_HUMAN","31","160556"
"ACE","DCP; ACE1; DCP1; CD143","angiotensin I converting enzyme","This gene encodes an enzyme involved in catalyzing the conversion of angiotensin I into a physiologically active peptide angiotensin II. Angiotensin II is a potent vasopressor and aldosterone-stimulating peptide that controls blood pressure and fluid-electrolyte balance. This enzyme plays a key role in the renin-angiotensin system. Many studies have associated the presence or absence of a 287 bp Alu repeat element in this gene with the levels of circulating enzyme or cardiovascular pathophysiologies. Multiple alternatively spliced transcript variants encoding different isoforms have been identified, and two most abundant spliced variants encode the somatic form and the testicular form, respectively, that are equally active. [provided by RefSeq, May 2010]","17q23.3","106180","ENSG00000159640","ACE_HUMAN","1636","298469"
"ACOX1","ACOX; SCOX; PALMCOX","acyl-CoA oxidase 1","The protein encoded by this gene is the first enzyme of the fatty acid beta-oxidation pathway, which catalyzes the desaturation of acyl-CoAs to 2-trans-enoyl-CoAs. It donates electrons directly to molecular oxygen, thereby producing hydrogen peroxide. Defects in this gene result in pseudoneonatal adrenoleukodystrophy, a disease that is characterized by accumulation of very long chain fatty acids. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","17q25.1","609751","ENSG00000161533","ACOX1_HUMAN","51","464137"
"ACSS3","","acyl-CoA synthetase short-chain family member 3","","12q21.31","614356","ENSG00000111058","A0A0B4J1R2_HUMAN","79611","259559"
"ACTN3","","actinin alpha 3 (gene/pseudogene)","This gene encodes a member of the alpha-actin binding protein gene family. The encoded protein is primarily expressed in skeletal muscle and functions as a structural component of sarcomeric Z line. This protein is involved in crosslinking actin containing thin filaments. An allelic polymorphism in this gene results in both coding and non-coding variants; the reference genome represents the coding allele. The non-functional allele of this gene is associated with elite athlete status. [provided by RefSeq, Feb 2014]","11q13.2","102574","ENSG00000248746","A0A087WSZ2_HUMAN","89","654432"
"ACTR3B","ARP11; ARP3BETA","ARP3 actin related protein 3 homolog B","This gene encodes a member of the actin-related proteins (ARP), which form multiprotein complexes and share 35-55% amino acid identity with conventional actin. The protein encoded by this gene may have a regulatory role in the actin cytoskeleton and induce cell-shape change and motility. Pseudogenes of this gene are located on chromosomes 2, 4, 10, 16, 22 and Y. Alternative splicing results in multiple transcript variants and protein isoforms. [provided by RefSeq, Jul 2012]","7q36.1-q36.2","","ENSG00000133627","ARP3B_HUMAN","57180","647117"
"ADA","","adenosine deaminase","This gene encodes an enzyme that catalyzes the hydrolysis of adenosine to inosine. Various mutations have been described for this gene and have been linked to human diseases. Deficiency in this enzyme causes a form of severe combined immunodeficiency disease (SCID), in which there is dysfunction of both B and T lymphocytes with impaired cellular immunity and decreased production of immunoglobulins, whereas elevated levels of this enzyme have been associated with congenital hemolytic anemia. [provided by RefSeq, Jul 2008]","20q13.12","608958","ENSG00000196839","A0A0S2Z381_HUMAN","100","654536"
"ADA2","PAN; ADGF; CECR1; IDGFL; SNEDS","adenosine deaminase 2","This gene encodes a member of a subfamily of the adenosine deaminase protein family. The encoded protein is one of two adenosine deaminases found in humans, which regulate levels of the signaling molecule, adenosine. The encoded protein is secreted from monocytes undergoing differentiation and may regulate cell proliferation and differentiation. This gene may be responsible for some of the phenotypic features associated with cat eye syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2013]","22q11.1","607575","ENSG00000093072","A0A087X0I3_HUMAN","51816","170310"
"ADAMTS7","ADAM-TS7; ADAMTS-7; ADAM-TS; 7","ADAM metallopeptidase with thrombospondin type 1 motif 7","The protein encoded by this gene is a member of the ADAMTS (a disintegrin and metalloproteinase with thrombospondin motifs) family. Members of this family share several distinct protein modules, including a propeptide region, a metalloproteinase domain, a disintegrin-like domain, and a thrombospondin type 1 (TS) motif. Individual members of this family differ in the number of C-terminal TS motifs, and some have unique C-terminal domains. The encoded preproprotein is proteolytically processed to generate the mature enzyme. This enzyme contains two C-terminal TS motifs and may regulate vascular smooth muscle cell (VSMC) migration. Mutations in this gene may be associated with susceptibility to coronary artery disease. [provided by RefSeq, Feb 2016]","15q25.1","605009","ENSG00000136378","ATS7_HUMAN","11173","16441"
"ADAMTSL1","C9orf94; PUNCTIN; ADAMTSR1; ADAMTSL-1","ADAMTS like 1","This gene encodes a secreted protein and member of the ADAMTS (a disintegrin and metalloproteinase with thrombospondin motif) family. This protein lacks the metalloproteinase and disintegrin-like domains, which are typical of the ADAMTS family, but contains other ADAMTS domains, including the thrombospondin type 1 motif. This protein may have important functions in the extracellular matrix. Alternative splicing results in multiple transcript variants encoding distinct proteins. [provided by RefSeq, Jul 2008]","9p22.2-p22.1","609198","ENSG00000178031","ATL1_HUMAN","92949","741483"
"ADARB1","RED1; ADAR2; DRABA2; DRADA2","adenosine deaminase, RNA specific B1","This gene encodes the enzyme responsible for pre-mRNA editing of the glutamate receptor subunit B by site-specific deamination of adenosines. Studies in rat found that this enzyme acted on its own pre-mRNA molecules to convert an AA dinucleotide to an AI dinucleotide which resulted in a new splice site. Alternative splicing of this gene results in several transcript variants, some of which have been characterized by the presence or absence of an ALU cassette insert and a short or long C-terminal region. [provided by RefSeq, Jul 2008]","21q22.3","601218","ENSG00000197381","RED1_HUMAN","104","474018"
"ADARB2","RED2; ADAR3","adenosine deaminase, RNA specific B2 (inactive)","This gene encodes a member of the double-stranded RNA adenosine deaminase family of RNA-editing enzymes and may play a regulatory role in RNA editing. [provided by RefSeq, Jul 2008]","10p15.3","602065","ENSG00000185736","RED2_HUMAN","105","586663"
"ADCY2","AC2; HBAC2","adenylate cyclase 2","This gene encodes a member of the family of adenylate cyclases, which are membrane-associated enzymes that catalyze the formation of the secondary messenger cyclic adenosine monophosphate (cAMP). This enzyme is insensitive to Ca(2+)/calmodulin, and is stimulated by the G protein beta and gamma subunit complex. [provided by RefSeq, Jul 2008]","5p15.31","103071","ENSG00000078295","ADCY2_HUMAN","108","481545"
"ADCY5","AC5; FDFM","adenylate cyclase 5","This gene encodes a member of the membrane-bound adenylyl cyclase enzymes. Adenylyl cyclases mediate G protein-coupled receptor signaling through the synthesis of the second messenger cAMP. Activity of the encoded protein is stimulated by the Gs alpha subunit of G protein-coupled receptors and is inhibited by protein kinase A, calcium and Gi alpha subunits. Single nucleotide polymorphisms in this gene may be associated with low birth weight and type 2 diabetes. Alternatively spliced transcript variants that encode different isoforms have been observed for this gene. [provided by RefSeq, Dec 2010]","3q21.1","600293","ENSG00000173175","ADCY5_HUMAN","111","593292"
"ADCY6","AC6; LCCS8","adenylate cyclase 6","This gene encodes a member of the adenylyl cyclase family of proteins, which are required for the synthesis of cyclic AMP. All members of this family have an intracellular N-terminus, a tandem repeat of six transmembrane domains separated by a cytoplasmic loop, and a C-terminal cytoplasmic domain. The two cytoplasmic regions bind ATP and form the catalytic core of the protein. Adenylyl cyclases are important effectors of transmembrane signaling pathways and are regulated by the activity of G protein coupled receptor signaling. This protein belongs to a small subclass of adenylyl cyclase proteins that are functionally related and are inhibited by protein kinase A, calcium ions and nitric oxide. A mutation in this gene is associated with arthrogryposis multiplex congenita. [provided by RefSeq, May 2015]","12q13.12","600294","ENSG00000174233","ADCY6_HUMAN","112","525401"
"ADGRL4","ETL; ELTD1; KPG_003","adhesion G protein-coupled receptor L4","","1p31.1","616419","ENSG00000162618","AGRL4_HUMAN","64123","132314"
"ADIPOQ","ACDC; ADPN; APM1; APM-1; GBP28; ACRP30; ADIPQTL1","adiponectin, C1Q and collagen domain containing","This gene is expressed in adipose tissue exclusively. It encodes a protein with similarity to collagens X and VIII and complement factor C1q. The encoded protein circulates in the plasma and is involved with metabolic and hormonal processes. Mutations in this gene are associated with adiponectin deficiency. Multiple alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Apr 2010]","3q27.3","605441","ENSG00000181092","A8K660_HUMAN","9370","80485"
"ADRB2","BAR; B2AR; ADRBR; ADRB2R; BETA2AR","adrenoceptor beta 2","This gene encodes beta-2-adrenergic receptor which is a member of the G protein-coupled receptor superfamily. This receptor is directly associated with one of its ultimate effectors, the class C L-type calcium channel Ca(V)1.2. This receptor-channel complex also contains a G protein, an adenylyl cyclase, cAMP-dependent kinase, and the counterbalancing phosphatase, PP2A. The assembly of the signaling complex provides a mechanism that ensures specific and rapid signaling by this G protein-coupled receptor. This gene is intronless. Different polymorphic forms, point mutations, and/or downregulation of this gene are associated with nocturnal asthma, obesity and type 2 diabetes. [provided by RefSeq, Jul 2008]","5q32","109690","ENSG00000169252","ADRB2_HUMAN","154","2551"
"AFG1L","AFG1; LACE1; c222389","AFG1 like ATPase","This gene encodes a mitochondrial integral membrane protein that plays a role in mitochondrial protein homeostasis. The protein contains a P-loop motif and a five-domain structure that is conserved in fly, yeast, and bacteria. It functions to mediate the degradation of nuclear-encoded complex IV subunits. Two conserved estrogen receptor binding sites are located within 2.5 kb of this gene. Polymorphisms in this gene have been associated with bipolar disorder. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2016]","6q21","","ENSG00000135537","LACE1_HUMAN","246269","259666"
"AGER","RAGE; SCARJ1","advanced glycosylation end-product specific receptor","The advanced glycosylation end product (AGE) receptor encoded by this gene is a member of the immunoglobulin superfamily of cell surface receptors. It is a multiligand receptor, and besides AGE, interacts with other molecules implicated in homeostasis, development, and inflammation, and certain diseases, such as diabetes and Alzheimer's disease. Many alternatively spliced transcript variants encoding different isoforms, as well as non-protein-coding variants, have been described for this gene (PMID:18089847). [provided by RefSeq, May 2011]","6p21.32","600214","ENSG00000204305","B4DNX3_HUMAN","177","534342"
"AGT","ANHU; SERPINA8","angiotensinogen","The protein encoded by this gene, pre-angiotensinogen or angiotensinogen precursor, is expressed in the liver and is cleaved by the enzyme renin in response to lowered blood pressure. The resulting product, angiotensin I, is then cleaved by angiotensin converting enzyme (ACE) to generate the physiologically active enzyme angiotensin II. The protein is involved in maintaining blood pressure and in the pathogenesis of essential hypertension and preeclampsia. Mutations in this gene are associated with susceptibility to essential hypertension, and can cause renal tubular dysgenesis, a severe disorder of renal tubular development. Defects in this gene have also been associated with non-familial structural atrial fibrillation, and inflammatory bowel disease. [provided by RefSeq, Jul 2008]","1q42.2","106150","ENSG00000135744","ANGT_HUMAN","183","19383"
"AGTR1","AT1; AG2S; AT1B; AT1R; AT1AR; AT1BR; AT2R1; HAT1R; AGTR1B","angiotensin II receptor type 1","Angiotensin II is a potent vasopressor hormone and a primary regulator of aldosterone secretion. It is an important effector controlling blood pressure and volume in the cardiovascular system. It acts through at least two types of receptors. This gene encodes the type 1 receptor which is thought to mediate the major cardiovascular effects of angiotensin II. This gene may play a role in the generation of reperfusion arrhythmias following restoration of blood flow to ischemic or infarcted myocardium. It was previously thought that a related gene, denoted as AGTR1B, existed; however, it is now believed that there is only one type 1 receptor gene in humans. Multiple alternatively spliced transcript variants have been reported for this gene. [provided by RefSeq, Jul 2012]","3q24","106165","ENSG00000144891","A0A0A0MSE3_HUMAN","185","477887"
"AIF1","IBA1; IRT1; AIF-1; IRT-1","allograft inflammatory factor 1","This gene encodes a protein that binds actin and calcium. This gene is induced by cytokines and interferon and may promote macrophage activation and growth of vascular smooth muscle cells and T-lymphocytes. Polymorphisms in this gene may be associated with systemic sclerosis. Alternative splicing results in multiple transcript variants, but the full-length and coding nature of some of these variants is not certain. [provided by RefSeq, Jan 2016]","6p21.33","601833","ENSG00000204472","AIF1_HUMAN","199","76364"
"AKAP10","PRKA10; AKAP-10; D-AKAP2; D-AKAP-2","A-kinase anchoring protein 10","This gene encodes a member of the A-kinase anchor protein family. A-kinase anchor proteins bind to the regulatory subunits of protein kinase A (PKA) and confine the holoenzyme to discrete locations within the cell. The encoded protein is localized to mitochondria and interacts with both the type I and type II regulatory subunits of PKA. Polymorphisms in this gene may be associated with increased risk of arrhythmias and sudden cardiac death. [provided by RefSeq, May 2012]","17p11.2","604694","ENSG00000108599","A0A0S2Z4Z7_HUMAN","11216","642676"
"AKT1","AKT; PKB; RAC; CWS6; PRKBA; PKB-ALPHA; RAC-ALPHA","AKT serine/threonine kinase 1","The serine-threonine protein kinase encoded by the AKT1 gene is catalytically inactive in serum-starved primary and immortalized fibroblasts. AKT1 and the related AKT2 are activated by platelet-derived growth factor. The activation is rapid and specific, and it is abrogated by mutations in the pleckstrin homology domain of AKT1. It was shown that the activation occurs through phosphatidylinositol 3-kinase. In the developing nervous system AKT is a critical mediator of growth factor-induced neuronal survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating the serine/threonine kinase AKT1, which then phosphorylates and inactivates components of the apoptotic machinery. Mutations in this gene have been associated with the Proteus syndrome. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2011]","14q32.33","164730","ENSG00000142208","AKT1_HUMAN","207","525622"
"AKT1S1","Lobe; PRAS40","AKT1 substrate 1","AKT1S1 is a proline-rich substrate of AKT (MIM 164730) that binds 14-3-3 protein (see YWHAH, MIM 113508) when phosphorylated (Kovacina et al., 2003 [PubMed 12524439]).[supplied by OMIM, Mar 2008]","19q13.33","610221","ENSG00000204673","A0A024QZF6_HUMAN","84335","515542"
"AKT3","MPPH; PKBG; MPPH2; PRKBG; STK-2; PKB-GAMMA; RAC-gamma; RAC-PK-gamma","AKT serine/threonine kinase 3","The protein encoded by this gene is a member of the AKT, also called PKB,  serine/threonine protein kinase family. AKT kinases are known to be regulators of cell signaling in response to insulin and growth factors. They are involved in a wide variety of biological processes including cell proliferation, differentiation, apoptosis, tumorigenesis, as well as glycogen synthesis and glucose uptake. This kinase has been shown to be stimulated by platelet-derived growth factor (PDGF), insulin, and insulin-like growth factor 1 (IGF1). Alternatively splice transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Jul 2008]","1q43-q44","611223","ENSG00000117020","AKT3_HUMAN","10000","498292"
